order_id,timestamp,day_of_week,is_weekend,weather,location,item_name,quantity,item_price,total_price
ORD100001,2026-03-06 14:37:00.682584,Friday,0,Clear,Koramangala,Chicken Bharta,3,250,750
ORD100002,2026-03-06 21:15:00.682584,Friday,0,Clear,Koramangala,Cold Drink,1,60,60
ORD100003,2026-03-06 16:22:00.682584,Friday,0,Clear,HSR Layout,Fish Finger,2,70,140
ORD100004,2026-03-06 21:37:00.682584,Friday,0,Clear,Whitefield,Fish Finger,1,70,70
ORD100005,2026-03-06 22:57:00.682584,Friday,0,Clear,HSR Layout,Fish Finger,3,70,210
ORD100006,2026-03-06 18:48:00.682584,Friday,0,Clear,Koramangala,Biriyani,3,260,780
ORD100007,2026-03-06 19:59:00.682584,Friday,0,Clear,HSR Layout,Fish Finger,1,70,70
ORD100008,2026-03-06 21:11:00.682584,Friday,0,Clear,HSR Layout,Cold Drink,1,60,60
ORD100009,2026-03-06 18:10:00.682584,Friday,0,Clear,Whitefield,Aloo Paratha,2,30,60
ORD100010,2026-03-06 19:32:00.682584,Friday,0,Clear,Koramangala,Momo,4,120,480
ORD100011,2026-03-06 14:26:00.682584,Friday,0,Clear,Koramangala,Cold Drink,3,60,180
ORD100012,2026-03-06 19:09:00.682584,Friday,0,Clear,HSR Layout,Aloo Paratha,1,30,30
ORD100013,2026-03-06 22:02:00.682584,Friday,0,Clear,HSR Layout,Chicken Bharta,3,250,750
ORD100014,2026-03-06 19:31:00.682584,Friday,0,Clear,Koramangala,Biriyani,3,260,780
ORD100015,2026-03-06 19:00:00.682584,Friday,0,Clear,Whitefield,Momo,2,120,240
ORD100016,2026-03-06 13:28:00.682584,Friday,0,Clear,HSR Layout,Fish Finger,1,70,70
ORD100017,2026-03-06 19:49:00.682584,Friday,0,Clear,Whitefield,Aloo Paratha,4,30,120
ORD100018,2026-03-06 19:06:00.682584,Friday,0,Clear,Whitefield,Cold Drink,1,60,60
ORD100019,2026-03-06 21:11:00.682584,Friday,0,Clear,HSR Layout,Cold Drink,1,60,60
ORD100020,2026-03-06 21:54:00.682584,Friday,0,Clear,Koramangala,Aloo Paratha,4,30,120
ORD100021,2026-03-06 13:02:00.682584,Friday,0,Clear,Indraninagar,Cold Drink,4,60,240
ORD100022,2026-03-06 19:04:00.682584,Friday,0,Clear,Whitefield,Momo,2,120,240
ORD100023,2026-03-06 18:11:00.682584,Friday,0,Clear,Indraninagar,Momo,2,120,240
ORD100024,2026-03-06 19:49:00.682584,Friday,0,Clear,HSR Layout,Cold Drink,3,60,180
ORD100025,2026-03-06 20:17:00.682584,Friday,0,Clear,Indraninagar,Aloo Paratha,4,30,120
ORD100026,2026-03-06 12:30:00.682584,Friday,0,Clear,Koramangala,Biriyani,3,260,780
ORD100027,2026-03-06 19:13:00.682584,Friday,0,Clear,Whitefield,Momo,2,120,240
ORD100028,2026-03-06 18:05:00.682584,Friday,0,Clear,Whitefield,Momo,2,120,240
ORD100029,2026-03-06 21:30:00.682584,Friday,0,Clear,Indraninagar,Chicken Bharta,3,250,750
ORD100030,2026-03-06 12:21:00.682584,Friday,0,Clear,Whitefield,Momo,1,120,120
ORD100031,2026-03-06 12:13:00.682584,Friday,0,Clear,Whitefield,Momo,3,120,360
ORD100032,2026-03-06 12:01:00.682584,Friday,0,Clear,Koramangala,Cold Drink,3,60,180
ORD100033,2026-03-06 22:55:00.682584,Friday,0,Clear,Indraninagar,Aloo Paratha,2,30,60
ORD100034,2026-03-06 14:14:00.682584,Friday,0,Clear,Whitefield,Fish Finger,3,70,210
ORD100035,2026-03-06 15:09:00.682584,Friday,0,Clear,Indraninagar,Momo,2,120,240
ORD100036,2026-03-06 19:28:00.682584,Friday,0,Clear,Indraninagar,Chicken Bharta,3,250,750
ORD100037,2026-03-06 23:31:00.682584,Friday,0,Clear,Indraninagar,Fish Finger,1,70,70
ORD100038,2026-03-06 19:04:00.682584,Friday,0,Clear,Indraninagar,Momo,4,120,480
ORD100039,2026-03-06 15:28:00.682584,Friday,0,Clear,Whitefield,Fish Finger,1,70,70
ORD100040,2026-03-06 19:44:00.682584,Friday,0,Clear,Indraninagar,Biriyani,2,260,520
ORD100041,2026-03-06 21:13:00.682584,Friday,0,Clear,Whitefield,Momo,2,120,240
ORD100042,2026-03-06 14:35:00.682584,Friday,0,Clear,Indraninagar,Cold Drink,4,60,240
ORD100043,2026-03-06 19:10:00.682584,Friday,0,Clear,HSR Layout,Biriyani,4,260,1040
ORD100044,2026-03-06 20:00:00.682584,Friday,0,Clear,Indraninagar,Aloo Paratha,1,30,30
ORD100045,2026-03-06 20:30:00.682584,Friday,0,Clear,HSR Layout,Aloo Paratha,3,30,90
ORD100046,2026-03-06 22:49:00.682584,Friday,0,Clear,Whitefield,Aloo Paratha,4,30,120
ORD100047,2026-03-06 19:52:00.682584,Friday,0,Clear,Koramangala,Fish Finger,1,70,70
ORD100048,2026-03-06 11:36:00.682584,Friday,0,Clear,HSR Layout,Aloo Paratha,1,30,30
ORD100049,2026-03-06 21:27:00.682584,Friday,0,Clear,Koramangala,Biriyani,3,260,780
ORD100050,2026-03-06 18:17:00.682584,Friday,0,Clear,Whitefield,Biriyani,4,260,1040
ORD100051,2026-03-06 16:11:00.682584,Friday,0,Clear,Indraninagar,Aloo Paratha,2,30,60
ORD100052,2026-03-06 19:54:00.682584,Friday,0,Clear,HSR Layout,Momo,1,120,120
ORD100053,2026-03-06 13:44:00.682584,Friday,0,Clear,Koramangala,Fish Finger,3,70,210
ORD100054,2026-03-06 21:32:00.682584,Friday,0,Clear,Koramangala,Biriyani,2,260,520
ORD100055,2026-03-06 19:43:00.682584,Friday,0,Clear,Whitefield,Cold Drink,4,60,240
ORD100056,2026-03-06 20:49:00.682584,Friday,0,Clear,HSR Layout,Biriyani,4,260,1040
ORD100057,2026-03-06 21:13:00.682584,Friday,0,Clear,HSR Layout,Chicken Bharta,2,250,500
ORD100058,2026-03-06 19:07:00.682584,Friday,0,Clear,Whitefield,Biriyani,3,260,780
ORD100059,2026-03-06 19:55:00.682584,Friday,0,Clear,Koramangala,Chicken Bharta,3,250,750
ORD100060,2026-03-06 19:32:00.682584,Friday,0,Clear,Koramangala,Cold Drink,4,60,240
ORD100061,2026-03-06 22:46:00.682584,Friday,0,Clear,Indraninagar,Cold Drink,1,60,60
ORD100062,2026-03-06 18:46:00.682584,Friday,0,Clear,Indraninagar,Fish Finger,3,70,210
ORD100063,2026-03-06 16:04:00.682584,Friday,0,Clear,Indraninagar,Aloo Paratha,4,30,120
ORD100064,2026-03-06 13:14:00.682584,Friday,0,Clear,Whitefield,Chicken Bharta,2,250,500
ORD100065,2026-03-06 13:43:00.682584,Friday,0,Clear,Whitefield,Biriyani,1,260,260
ORD100066,2026-03-06 19:21:00.682584,Friday,0,Clear,Indraninagar,Momo,2,120,240
ORD100067,2026-03-06 21:41:00.682584,Friday,0,Clear,Whitefield,Cold Drink,4,60,240
ORD100068,2026-03-06 22:58:00.682584,Friday,0,Clear,Koramangala,Aloo Paratha,4,30,120
ORD100069,2026-03-06 13:31:00.682584,Friday,0,Clear,HSR Layout,Biriyani,4,260,1040
ORD100070,2026-03-06 21:32:00.682584,Friday,0,Clear,Whitefield,Chicken Bharta,3,250,750
ORD100071,2026-03-06 20:02:00.682584,Friday,0,Clear,Koramangala,Momo,2,120,240
ORD100072,2026-03-06 14:13:00.682584,Friday,0,Clear,HSR Layout,Biriyani,3,260,780
ORD100073,2026-03-06 22:04:00.682584,Friday,0,Clear,Koramangala,Biriyani,3,260,780
ORD100074,2026-03-06 19:26:00.682584,Friday,0,Clear,Whitefield,Biriyani,1,260,260
ORD100075,2026-03-06 20:30:00.682584,Friday,0,Clear,Indraninagar,Fish Finger,3,70,210
